timestamp_utc,local_date,hour,is_solar_hour,has_extreme_event,event_types,pv_mw,rt_lmp,da_lmp,wx_prior_cloud_score,wx_prior_storm_score,wx_prior_rain_score,wx_prior_wind_score,wx_prior_fog_visibility_score,wx_prior_heat_score,wx_prior_fire_smoke_score,wx_prior_text_product_count,wx_prior_overall_risk_score,llm_prior_cloud_severity,llm_prior_irradiance_reduction_risk,llm_prior_storm_risk,llm_prior_rain_risk,llm_prior_fog_visibility_risk,llm_prior_wind_risk,llm_prior_heat_risk,llm_prior_smoke_dust_risk,llm_prior_morning_risk,llm_prior_afternoon_risk,llm_prior_evening_risk,llm_prior_all_day_risk,llm_prior_rule_cloud_score,llm_prior_rule_storm_score,llm_prior_rule_rain_score,llm_prior_rule_wind_score,llm_prior_rule_fog_visibility_score,llm_prior_rule_heat_score,llm_prior_rule_fire_smoke_score,llm_prior_confidence,llm_prior_overall_risk_score,llm_prior_text_product_count,pv_mlp_rule_core,rt_transformer_text,pv_mlp_llm_rule_cloud,rt_transformer_llm_rule,anchor_bid_mw,llm_hybrid_bid_mw,anchor_signed_imbalance_mw,llm_signed_imbalance_mw,anchor_abs_imbalance_mw,llm_abs_imbalance_mw,anchor_revenue_usd,llm_hybrid_revenue_usd,revenue_delta_usd,cumulative_revenue_delta_usd
2024-03-13 07:00:00+00:00,2024-03-13,0,0,1,Thunderstorm Wind,2.6666666666666665,27.66828333333333,25.26335,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,160.83569390475964,24.86517906188965,40.52188065082056,20.3811149597168,160.83569390475964,100.6787872777901,158.16902723809298,98.01212061112342,158.16902723809298,98.01212061112342,-8221.468394477113,-5068.949713151216,3152.518681325897,3152.518681325897
2024-03-13 08:00:00+00:00,2024-03-13,1,0,1,Thunderstorm Wind,6.25,26.07910166666667,22.72205,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,138.78266870296568,25.135133743286133,21.978670747491137,21.12322998046875,138.78266870296568,77.61877277634434,132.53266870296568,71.36877277634434,132.53266870296568,71.36877277634434,-6929.539639005357,-3666.0144839139984,3263.525155091358,6416.043836417255
2024-03-13 09:00:00+00:00,2024-03-13,2,0,1,Thunderstorm Wind,2.833333333333333,26.319421666666667,23.89644,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,128.75099811524947,23.83794403076172,10.698791800644656,19.40467071533203,128.75099811524947,69.72489495794707,125.91766478191614,66.89156162461374,125.91766478191614,66.89156162461374,-6533.272852371869,-3438.9485287018297,3094.324323670039,9510.368160087295
2024-03-13 10:00:00+00:00,2024-03-13,3,0,1,Thunderstorm Wind,0.5833333333333334,26.267714166666668,23.87506,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,124.6821622999622,24.40753173828125,6.719130754251395,19.471263885498047,124.6821622999622,62.3410811499811,124.09882896662887,61.757747816647765,124.09882896662887,61.757747816647765,-6487.9399102035695,-3221.7252051365062,3266.2147050670633,12776.582865154358
2024-03-13 11:00:00+00:00,2024-03-13,4,0,1,Thunderstorm Wind,0.0,27.746921666666665,25.59195,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,52.50303574178824,25.65924835205078,2.67662892991666,20.40154457092285,52.50303574178824,26.25151787089412,52.50303574178824,26.25151787089412,52.50303574178824,26.25151787089412,-2738.294341526953,-1369.1471707634764,1369.1471707634764,14145.730035917833
2024-03-13 12:00:00+00:00,2024-03-13,5,0,1,Thunderstorm Wind,0.0,32.3643225,34.40624,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,15.778416539477986,29.4140739440918,16.624919122803263,23.803083419799805,15.778416539477986,16.201667831140625,15.778416539477986,16.201667831140625,15.778416539477986,16.201667831140625,-756.7026021196498,-777.0009224834382,-20.298320363788434,14125.431715554045
2024-03-13 13:00:00+00:00,2024-03-13,6,1,1,Thunderstorm Wind,0.0,38.633184166666666,41.38081,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,1100.8104289576636,35.72150421142578,657.7849993725689,31.290332794189453,1100.8104289576636,873.0222254805652,1100.8104289576636,873.0222254805652,1100.8104289576636,873.0222254805652,-52015.90627567636,-41252.3728542237,10763.53342145266,24888.965137006704
2024-03-13 14:00:00+00:00,2024-03-13,7,1,1,Thunderstorm Wind,1607.25,45.43512333333334,42.25293,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,2005.5711390528295,40.05120468139648,1451.7211249063437,33.55602264404297,2005.5711390528295,1552.352768081409,398.3211390528295,-54.89723191859093,398.3211390528295,54.89723191859093,46727.42991663887,65340.853752000236,18613.42383536137,43502.38897236808
2024-03-13 15:00:00+00:00,2024-03-13,8,1,1,Thunderstorm Wind,8039.0,21.387096666666665,18.54002,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,7364.384412292913,18.470932006835938,7272.509451070304,10.035823822021484,7364.384412292913,8001.230603639778,-674.6155877070869,-37.769396360222345,674.6155877070869,37.769396360222345,117233.12369337611,147262.28332908012,30029.15963570401,73531.54860807209
2024-03-13 16:00:00+00:00,2024-03-13,9,1,1,Thunderstorm Wind,12860.0,-13.438758333333334,-15.77836,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,10197.343811543373,2.1246566772460938,10659.3455004778,-4.599700927734375,10197.343811543373,10404.227300242144,-2662.656188456627,-2455.7726997578557,2662.656188456627,2455.7726997578557,-329812.96416655794,-319952.81468658475,9860.149479973188,83391.69808804528
2024-03-13 17:00:00+00:00,2024-03-13,10,1,1,Thunderstorm Wind,13213.333333333334,-30.334015,-30.1776,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,11293.970196729511,-5.341705322265625,12055.894249466171,-6.964683532714844,11293.970196729511,11475.11969487134,-1919.3631366038226,-1738.2136384619935,1919.3631366038226,1738.2136384619935,-495015.06201520306,-485929.25260935974,9085.80940584332,92477.5074938886
2024-03-13 18:00:00+00:00,2024-03-13,11,1,1,Thunderstorm Wind,13729.416666666666,-40.76331916666667,-32.31285,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,11951.364892000762,-18.300899505615234,12739.07696790917,-11.768669128417969,11951.364892000762,12198.106317842856,-1778.0517746659043,-1531.3103488238103,1778.0517746659043,1531.3103488238103,-547564.5417693463,-533142.3896660237,14422.152103322675,106899.65959721127
2024-03-13 19:00:00+00:00,2024-03-13,12,1,1,Thunderstorm Wind,13809.333333333334,-49.1209575,-35.86657,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,12347.436337519754,-19.09222412109375,13120.865528342032,-11.710357666015623,12347.436337519754,12592.357342815227,-1461.8969958135804,-1216.9759905181072,1461.8969958135804,1216.9759905181072,-587764.8197116115,-572272.4915357621,15492.328175849398,122391.98777306067
2024-03-13 20:00:00+00:00,2024-03-13,13,1,1,Thunderstorm Wind,13774.75,-50.9192,-37.19783,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,12345.194723259272,-18.060997009277344,13068.430900596735,-12.18353271484375,12345.194723259272,12424.92023578035,-1429.555276740728,-1349.8297642196503,1429.555276740728,1349.8297642196503,-603484.0295171484,-598403.8106353531,5080.218881795299,127472.20665485597
2024-03-13 21:00:00+00:00,2024-03-13,14,1,1,Thunderstorm Wind,13423.083333333334,-61.91233333333333,-37.19922,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,12305.312970965766,-16.657058715820312,12969.331604127949,-10.518936157226562,12305.312970965766,12465.842299138056,-1117.770362367568,-957.2410341952782,1117.770362367568,957.2410341952782,-582840.3337592091,-570846.687870149,11993.645889060106,139465.8525439161
2024-03-13 22:00:00+00:00,2024-03-13,15,1,1,Thunderstorm Wind,13112.333333333334,-46.57498666666667,-35.81847,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,11385.51099017799,-16.645431518554688,11942.330805212398,-11.103416442871094,11385.51099017799,11293.95966421206,-1726.8223431553433,-1818.3736691212744,1726.8223431553433,1818.3736691212744,-574579.42860229,-580141.7682641945,-5562.339661904494,133903.5128820116
2024-03-13 23:00:00+00:00,2024-03-13,16,1,1,Thunderstorm Wind,11562.333333333334,-30.233856666666668,-40.0,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,10224.223959501747,-11.711433410644531,10734.653462196242,-7.558181762695312,10224.223959501747,10396.203419811172,-1338.1093738315867,-1166.1299135221616,1338.1093738315867,1166.1299135221616,-516330.63408439653,-509411.2371286964,6919.396955700126,140822.90983771172
2024-03-14 00:00:00+00:00,2024-03-13,17,1,1,Thunderstorm Wind,9320.75,7.8913225,-6.40641,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,8172.951151318386,8.97335433959961,8246.98853215875,9.594341278076172,8172.951151318386,8106.888501403704,-1147.798848681614,-1213.8614985962959,1147.798848681614,1213.8614985962959,-100691.567539323,-103050.15393833583,-2358.5863990128273,138464.3234386989
2024-03-14 01:00:00+00:00,2024-03-13,18,1,1,Thunderstorm Wind,2238.6666666666665,33.4031375,37.49676,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,2885.8626636564645,36.24030685424805,2498.9090279957777,31.70806121826172,2885.8626636564645,2672.702993256121,647.195996989798,434.03632658945435,647.195996989798,434.03632658945435,54232.322965697465,64017.711262871235,9785.38829717377,148249.71173587267
2024-03-14 02:00:00+00:00,2024-03-13,19,1,1,Thunderstorm Wind,47.0,33.87618,40.97582,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,938.1896094066692,37.78709411621094,668.2963871391622,32.33563232421875,938.1896094066692,753.0667517759055,891.1896094066692,706.0667517759055,891.1896094066692,706.0667517759055,-36306.4915318055,-28364.654295216984,7941.837236588515,156191.5489724612
2024-03-14 03:00:00+00:00,2024-03-13,20,0,1,Thunderstorm Wind,73.33333333333333,38.0204175,42.07277,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,228.53819789773357,38.89559173583984,25.57177376087712,30.19183349609375,228.53819789773357,125.98620612231514,155.20486456440022,52.65287278898181,155.20486456440022,52.65287278898181,-4045.961940623636,666.0608278961886,4712.022768519824,160903.57174098102
2024-03-14 04:00:00+00:00,2024-03-13,21,0,1,Thunderstorm Wind,74.0,37.1899175,37.90502,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,217.08015123104548,40.67876815795898,0.0,34.347434997558594,217.08015123104548,108.54007561552274,143.08015123104548,34.54007561552274,143.08015123104548,34.54007561552274,-4246.719107706575,1102.6673936467128,5349.386501353289,166252.9582423343
2024-03-14 05:00:00+00:00,2024-03-13,22,0,1,Thunderstorm Wind,83.0,35.30222166666667,36.36567,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,125.27397265843074,32.92512512207031,0.0,30.39942169189453,125.27397265843074,62.63698632921537,42.273972658430736,-20.363013670784632,42.273972658430736,20.363013670784632,949.6081628454504,1978.5449135109288,1028.9367506654785,167281.8949929998
2024-03-14 06:00:00+00:00,2024-03-13,23,0,1,Thunderstorm Wind,80.75,35.83320833333333,37.2524,1.0,0.4,1.0,1.0,0.0,0.0,0.2,24,1.0,0.7,0.6,0.1,0.4,0.3,0.7,0.0,0.0,0.6,0.4,0.5,0.5,0.7,0.1,0.4,0.7,0.3,0.0,0.0,0.8,0.7,24.0,41.587660101284015,30.60040283203125,0.0,29.046215057373047,41.587660101284015,20.793830050642008,-39.162339898715985,-59.95616994935799,39.162339898715985,59.95616994935799,994.4354386327757,-74.76649422527908,-1069.2019328580548,166212.69306014173
